image_id,corruption,severity,map,count_error
6fb82031f7fc5f4fa6e0bc2ef3421db19036b5c2cdd2725009ab465d66d61d72,limpa,0,0.5233333333333333,0
709e094e39629a9ca21e187f007b331074694e443db40289447c1111f7e267e7,limpa,0,0.3240866892757882,3
72b18a405555ad491721e29454e5cd325055ce81a9e78524b56f2c058a4d2327,limpa,0,0.6460714285714285,1
777f7c4269279951ae05b56e806745e613297d411d048c0bce8964afd7d71a4b,limpa,0,0.3595937247470861,17
77ceeb87f560775ac150b8b9b09684ed3e806d0af6f26cce8f10c5fc280f5df2,limpa,0,0.212232849011147,1
7978812d0e2e034ee1f9c141f019705582fcaa290e4a01c6c75a62753285cb23,limpa,0,0.879579185520362,1
79dfcbc9361edd3a1ffe81a5bdaa22a197ad1341f3fa64b86a646c2607d6b324,limpa,0,0.8115384615384615,0
7af09f98ec299ba0658d759eebc4c34e1c98289ea6ce37f233e9f5e4e2fc84f4,limpa,0,0.7211976429367735,0
7ba20aa731cc21af74a8d940254176cbad1bdc44f240b550341c6d9c27509daa,limpa,0,0.6534173976608187,3
7c318172e976ae5a962c9c7a4e9fe46d7fb985765ddd3a3e2108e893a90b92b2,limpa,0,0.3310679435442789,13
7f4d7b549d0f1a110191e2aded872943d85892bc30667f19fe9de97a5370b08e,limpa,0,0.655,1
8175a55b711c948fe383bd3b91b6ca1b9e048a5241e0be13aff31ce2674fbe6d,limpa,0,0.8341736694677871,0
8d9b4205ddb10fa49a2973b4f3a2dc6923407ae015081e1a52c4b4c2fe8faa53,limpa,0,0.7319774778598308,2
8efed2e62c919e6d70a2ab548b1a33014877fe8a23f177ef25a9dee25ffe8842,limpa,0,0.13725637935413054,114
97158b2fe38783d88d4e44ba1b7bc6c84f225f8b35fcccc2f9265c65f14e7c8b,limpa,0,0.4083958454723362,3
9774c82396327929fea05e40ae153cabf0107178b2ae3e40a5709b409793887e,limpa,0,0.23233570222347316,5
9b25b8ffd5f52b6c3d235a42d51d380503d1f80b61ef0f62eeb696f5977c38e6,limpa,0,0.6034090909090909,2
