epoch,train_loss,validation_map
1,0.8181846703547658,0.1462527462690093
2,0.5361850688071139,0.21774774357947166
3,0.41991688072808514,0.20626402488033013
4,0.35804659649253145,0.260723190806776
5,0.3188651023643103,0.35713880525414377
6,0.29971593974241567,0.3459205754288208
7,0.2897746340552373,0.3237159608904753
8,0.2942364042374625,0.42451922142953064
9,0.26679967521731535,0.37139529364356483
10,0.2558284230323743,0.3781360515348499
11,0.2488373625380144,0.41489211463764875
12,0.246210697140775,0.41597551216455436
13,0.27008524441769893,0.3600309461473606
14,0.25738057487809074,0.38270859539588764
15,0.23259597203370605,0.45633595830290935
16,0.2367236293010366,0.3821740432947908
17,0.23530930036039494,0.4196528433034353
18,0.2504399688894561,0.44279650539552534
19,0.2363214133772006,0.41609206049395714
20,0.22206707247920127,0.4425395615316613
